date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:53	6113/6113	---MCZ	200	added ('OK')	application/javascript	etag:W/11978-1684460945415.6394	https://s1.wp.com/wp-content/js/mobile-useragent-info.js?m=1609849039i	C:/My%20Web%20Sites/Emko%20Final/s1.wp.com/wp-content/js/mobile-useragent-info9d5c.js	(from https://emkoprototip.wordpress.com/)
16:41:53	30584/30584	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f90457-7778%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/interactivity/index.min.js?m=1694041159i&ver=16.6.0	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/interactivity/index.minb731.js	(from https://emkoprototip.wordpress.com/)
16:41:53	3018/3018	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f90457-bca%22	https://s1.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/navigation/view-interactivity.min.js?m=1694041159i&ver=6e951960a9d21c80ea85	C:/My%20Web%20Sites/Emko%20Final/s1.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/navigation/view-interactivity.min984e.js	(from https://emkoprototip.wordpress.com/)
16:41:53	7958/7958	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d123c1-1f16%22	https://s2.wp.com/_static/??/wp-content/js/rlt-proxy.js,/wp-content/mu-plugins/verbum/dynamic-loader.js?m=1691427769j	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/_static/index27ec.html	(from https://emkoprototip.wordpress.com/)
16:41:54	885/885	---MCZ	200	added ('OK')	text/xml	date:Sat,%2007%20Oct%202023%2014:41:54%20GMT	https://emkoprototip.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/xmlrpc0db0.php	(from https://emkoprototip.wordpress.com/)
16:41:54	1402/1402	---MCZ	200	added ('OK')	application/xml	date:Sat,%2007%20Oct%202023%2014:41:54%20GMT	https://emkoprototip.wordpress.com/osd.xml	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/osd.xml	(from https://emkoprototip.wordpress.com/)
16:41:54	1113/1113	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202023%2010:30:12%20GMT	https://emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-1.png?w=32	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-176ca.png	(from https://emkoprototip.wordpress.com/)
16:41:55	14004/14004	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202023%2010:30:12%20GMT	https://emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-1.png?w=192	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-19939.png	(from https://emkoprototip.wordpress.com/)
16:41:55	12662/12662	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202023%2010:30:12%20GMT	https://emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-1.png?w=180	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-1ad83.png	(from https://emkoprototip.wordpress.com/)
16:41:56	7629/7629	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Sep%202023%2013:11:05%20GMT	https://emkoprototip.files.wordpress.com/2023/09/logo-emko.png	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/logo-emko.png	(from https://emkoprototip.wordpress.com/)
16:41:56	7629/7629	---M--	200	added ('OK')	image/png	date:Sun,%2003%20Sep%202023%2013:11:05%20GMT	https://emkoprototip.files.wordpress.com/2023/09/logo-emko.png?w=158	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/logo-emkod5e6.png	(from https://emkoprototip.wordpress.com/)
16:41:56	9462/9462	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2013:42:05%20GMT	https://emkoprototip.files.wordpress.com/2023/08/office-chair.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/office-chairfddc.png	(from https://emkoprototip.wordpress.com/)
16:41:56	10315/10315	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:19:57%20GMT	https://emkoprototip.files.wordpress.com/2023/08/theater.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/theaterfddc.png	(from https://emkoprototip.wordpress.com/)
16:41:57	10088/10088	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:21:17%20GMT	https://emkoprototip.files.wordpress.com/2023/08/classroom.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/classroomfddc.png	(from https://emkoprototip.wordpress.com/)
16:41:58	138824/138824	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:41:57%20GMT	https://emkoprototip.wordpress.com/certifikime/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/certifikime/index.html	(from https://emkoprototip.wordpress.com/)
16:41:58	498030/498030	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202023%2010:09:12%20GMT	https://emkoprototip.files.wordpress.com/2023/08/emko-rreth-nesh.jpg	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/emko-rreth-nesh.jpg	(from https://emkoprototip.wordpress.com/)
16:41:58	11613/11613	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:22:22%20GMT	https://emkoprototip.files.wordpress.com/2023/08/course.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/coursefddc.png	(from https://emkoprototip.wordpress.com/)
16:41:58	2473/2473	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:22:31%20GMT	https://emkoprototip.files.wordpress.com/2023/08/classroom-1.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/classroom-1fddc.png	(from https://emkoprototip.wordpress.com/)
16:41:58	148739/148739	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:41:58%20GMT	https://emkoprototip.wordpress.com/produkte/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/produkte/index.html	(from https://emkoprototip.wordpress.com/)
16:41:59	156790/156790	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:41:58%20GMT	https://emkoprototip.wordpress.com/kontakto/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/kontakto/index.html	(from https://emkoprototip.wordpress.com/)
16:41:59	2792/2792	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:23:21%20GMT	https://emkoprototip.files.wordpress.com/2023/08/table.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/tablefddc.png	(from https://emkoprototip.wordpress.com/)
16:42:00	256034/256034	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:41:59%20GMT	https://emkoprototip.wordpress.com/projekte-2/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/projekte-2/index.html	(from https://emkoprototip.wordpress.com/)
16:42:00	163051/163051	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:41:59%20GMT	https://emkoprototip.wordpress.com/rreth-nesh/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/rreth-nesh/index.html	(from https://emkoprototip.wordpress.com/)
16:42:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Oct%202023%2014:41:59%20GMT	https://emkoprototip.wordpress.com/2023/09/03/karrige/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/2023/09/03/karrige/index.html	(from https://emkoprototip.wordpress.com/)
16:42:01	157875/157875	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:42:00%20GMT	https://emkoprototip.wordpress.com/2023/09/03/auditore/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/2023/09/03/auditore/index.html	(from https://emkoprototip.wordpress.com/)
16:42:01	10624/10624	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:24:20%20GMT	https://emkoprototip.files.wordpress.com/2023/08/microscope.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/microscopefddc.png	(from https://emkoprototip.wordpress.com/)
16:42:01	4819/4819	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:25:04%20GMT	https://emkoprototip.files.wordpress.com/2023/08/tribune.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/tribunefddc.png	(from https://emkoprototip.wordpress.com/)
16:42:01	11893/11893	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:26:23%20GMT	https://emkoprototip.files.wordpress.com/2023/08/table-1.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/table-1fddc.png	(from https://emkoprototip.wordpress.com/)
16:42:01	3485/3485	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:27:04%20GMT	https://emkoprototip.files.wordpress.com/2023/08/wardrobe.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/wardrobefddc.png	(from https://emkoprototip.wordpress.com/)
16:42:02	4042/4042	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:32:04%20GMT	https://emkoprototip.files.wordpress.com/2023/08/shelves.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/shelvesfddc.png	(from https://emkoprototip.wordpress.com/)
16:42:02	2548/2548	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:29:08%20GMT	https://emkoprototip.files.wordpress.com/2023/08/wardrobe-1.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/wardrobe-1fddc.png	(from https://emkoprototip.wordpress.com/)
16:42:03	6559/6559	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:32:59%20GMT	https://emkoprototip.files.wordpress.com/2023/08/couch.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/couchfddc.png	(from https://emkoprototip.wordpress.com/)
16:42:03	11872/11872	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Aug%202023%2014:33:39%20GMT	https://emkoprototip.files.wordpress.com/2023/08/stadium.png?w=512	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/stadiumfddc.png	(from https://emkoprototip.wordpress.com/)
16:42:03	9106/9106	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202023%2009:54:07%20GMT	https://emkoprototip.files.wordpress.com/2023/08/map.png	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/map.png	(from https://emkoprototip.wordpress.com/)
16:42:03	10776/10776	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202023%2009:56:36%20GMT	https://emkoprototip.files.wordpress.com/2023/08/telephone-call.png	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/08/telephone-call.png	(from https://emkoprototip.wordpress.com/)
16:42:03	6984/6984	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Sep%202023%2010:00:14%20GMT	https://emkoprototip.files.wordpress.com/2023/09/email.png	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/email.png	(from https://emkoprototip.wordpress.com/)
16:42:04	128185/128185	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:42:04%20GMT	https://emkoprototip.wordpress.com/GET	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/GET	(from https://emkoprototip.wordpress.com/)
16:42:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Oct%202023%2014:42:05%20GMT	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202340aeb24331352c11f5446dd670d75325a3c4e3b8a6bd7f92ee1c88f8b8636d4d9c	C:/My%20Web%20Sites/Emko%20Final/0.gravatar.com/js/hovercards/hovercards.min.212c09.delayed	(from https://emkoprototip.wordpress.com/)
16:42:05	12970/12970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264dbb695-32aa%22	https://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202340aeb24331352c11f5446dd670d75325a3c4e3b8a6bd7f92ee1c88f8b8636d4d9c	C:/My%20Web%20Sites/Emko%20Final/0.gravatar.com/js/hovercards/hovercards.min2c09.js	(from https://emkoprototip.wordpress.com/)
16:42:05	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1684460941828.9634	https://s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://emkoprototip.wordpress.com/)
16:42:06	1914/1914	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Oct%202023%2010:30:12%20GMT	https://emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-1.png?w=50	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/10/cropped-web-icon-1ae05.png	(from https://emkoprototip.wordpress.com/)
16:42:06	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2007%20Oct%202023%2014:42:06%20GMT	https://emkoprototip.wordpress.com/wp-admin/site-editor.php?postType=wp_template&postId=pub/startfit//front-page	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/wp-admin/site-editor6f1b.php	(from https://emkoprototip.wordpress.com/)
16:42:06	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2007%20Oct%202023%2014:42:06%20GMT	https://emkoprototip.wordpress.com/wp-login.php?redirect_to=https%3A%2F%2Femkoprototip.wordpress.com%2Fwp-admin%2Fsite-editor.php%3FpostType%3Dwp_template%26postId%3Dpub%2Fstartfit%2F%2Ffront-page&reauth=1	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/wp-login69be.php	(from https://emkoprototip.wordpress.com/)
16:42:07	14633/14633	---MCZ	200	added ('OK')	text/css	etag:W/17924-1684460926167.6394	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20210915	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar2866.css	(from https://emkoprototip.wordpress.com/)
16:42:07	7186/7186	---MCZ	200	added ('OK')	application/javascript	etag:W/13421-1684460926155.6394	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20220329	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/mu-plugins/actionbar/actionbarb516.js	(from https://emkoprototip.wordpress.com/)
16:42:08	1293/1293	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2007%20Oct%202023%2014:42:07%20GMT	https://emkoprototip.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://emkoprototip.wordpress.com/)
16:42:09	10813/10813	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262f6b688-2a3d%22	http://stats.wp.com/w.js?63	C:/My%20Web%20Sites/Emko%20Final/stats.wp.com/w03af.js	(from https://emkoprototip.wordpress.com/)
16:42:09	43/43	---M--	200	added ('OK')	image/gif	date:Sat,%2007%20Oct%202023%2014:42:09%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/My%20Web%20Sites/Emko%20Final/pixel.wp.com/b0b80.gif	(from https://emkoprototip.wordpress.com/)
16:42:10	7154/7154	---MCZ	200	added ('OK')	application/javascript	etag:W/%22649d9e28-1bf2%22	https://emkoprototip.wordpress.com/wp-content/js/bilmur.min.js?i=8&m=202340	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/wp-content/js/bilmur.min898e.js	(from https://emkoprototip.wordpress.com/)
16:42:10	344/344	---MCZ	200	added ('OK')	text/plain	date:Sat,%2007%20Oct%202023%2014:42:10%20GMT	https://s1.wp.com/robots.txt		(from https://emkoprototip.wordpress.com/)
16:42:11	344/344	---MCZ	200	added ('OK')	text/plain	date:Sat,%2007%20Oct%202023%2014:42:11%20GMT	https://s2.wp.com/robots.txt		(from https://emkoprototip.wordpress.com/)
16:42:11	11372/11372	---MCZ	200	added ('OK')	text/css	etag:W/11371-1694537468631.6077	https://s2.wp.com/wp-content/mu-plugins/jetpack-plugin/sun/_inc/blocks/slideshow/view.css?m=1694537455i&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/wp-content/mu-plugins/jetpack-plugin/sun/_inc/blocks/slideshow/viewd2e6.css	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:12	8169/8169	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f90458-1fe9%22	https://s2.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/vendors/inert-polyfill.min.js?m=1694041159i&ver=6.4-alpha-56636	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/vendors/inert-polyfill.min7a0b.js	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:12	14783/14783	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263fe0aa2-39bf%22	https://s0.wp.com/_static/??/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js,/wp-includes/js/dist/vendor/regenerator-runtime.min.js?m=1677593243j	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/_static/index86ca.html	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:12	16146/16146	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ca763f-3f12%22	https://s2.wp.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?m=1690990124i	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/wp-includes/js/dist/vendor/wp-polyfill.mine5d3.js	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:12	460/460	---M--	200	added ('OK')	application/javascript	etag:%2264f90456-1cc%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/dom-ready/index.min.js?m=1694041159i&ver=222ad38e3e5e302c8bbf	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/dom-ready/index.min3402.js	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:13	1003/1003	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f90458-3eb%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/escape-html/index.min.js?m=1694041159i&ver=fbad781820bda8333f76	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/escape-html/index.minf6bf.js	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:13	4262/4262	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f90456-10a6%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/hooks/index.min.js?m=1694041159i&ver=3aee234ea7807d8d70bc	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/hooks/index.minb9d1.js	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:13	8829/8829	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f90459-227d%22	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/i18n/index.min.js?m=1694041159i&ver=5baa98e4345eccc97e24	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/i18n/index.min2feb.js	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:14	25109/25109	---MCZ	200	added ('OK')	application/javascript	etag:W/%22650096fc-6215%22	https://s2.wp.com/_static/??/wp-content/mu-plugins/jetpack-plugin/sun/_inc/blocks/slideshow/view.js,/wp-content/js/rlt-proxy.js,/wp-content/mu-plugins/verbum/dynamic-loader.js?m=1694537455j	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/_static/indexdf31.html	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:17	261819/261819	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202023%2008:04:38%20GMT	https://emkoprototip.files.wordpress.com/2023/09/803_14-iso-9001_15-ing.png	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/803_14-iso-9001_15-ing.png	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:17	259987/259987	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Sep%202023%2008:04:31%20GMT	https://emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_2.png	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_2.png	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:17	656196/656196	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2008:04:33%20GMT	https://emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_4_image_0001.jpg	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_4_image_0001.jpg	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:19	106901/106901	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2008:04:35%20GMT	https://emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_6_image_0001.jpg	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_6_image_0001.jpg	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:19	128197/128197	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Oct%202023%2014:42:19%20GMT	https://emkoprototip.wordpress.com/certifikime/GET	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/certifikime/GET.3a.delayed	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:20	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2007%20Oct%202023%2014:42:20%20GMT	https://emkoprototip.wordpress.com/wp-admin/site-editor.php?postType=wp_template&postId=pub/startfit//page	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/wp-admin/site-editorc28f.php	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:20	579649/579649	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Sep%202023%2008:04:32%20GMT	https://emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_3_image_0001.jpg	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.files.wordpress.com/2023/09/7._iso_2022_page_3_image_0001.jpg	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:20	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2007%20Oct%202023%2014:42:20%20GMT	https://emkoprototip.wordpress.com/wp-login.php?redirect_to=https%3A%2F%2Femkoprototip.wordpress.com%2Fwp-admin%2Fsite-editor.php%3FpostType%3Dwp_template%26postId%3Dpub%2Fstartfit%2F%2Fpage&reauth=1	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/wp-login5194.php	(from https://emkoprototip.wordpress.com/certifikime/)
16:42:21	9703/9703	---MCZ	200	added ('OK')	application/javascript	etag:W/21769-1684465216101.7234	https://s1.wp.com/wp-content/mu-plugins/comment-likes/js/comment-likes.js?m=1637585230i	C:/My%20Web%20Sites/Emko%20Final/s1.wp.com/wp-content/mu-plugins/comment-likes/js/comment-likes9835.js	(from https://emkoprototip.wordpress.com/certifikime/)
